cod_local;s_nombre_sala.x2018;s_nombre_sala.y2019
24;UNIM - COPIAPO, LOS CARRERA 586;UNIM - COPIAPO, LOS CARRERA 586
486;UNIM - PUDAHUEL, EL CANAL;UNIM - PUDAHUEL, EL CANAL
97;UNIM - SALAMANCA, BULNES 677;UNIM - SALAMANCA, BULNES 677
621;UNIM - EL TABO, SAN MARCOS;UNIM - EL TABO, SAN MARCOS
352;UNIM - NUNOA, OBISPO ORREGO;UNIM - NUNOA, OBISPO ORREGO
91;UNIM - COMBARBALA, COMERCIO;UNIM - COMBARBALA, COMERCIO
555;UNIM - GRANEROS, OBISPO RAFAEL;UNIM - GRANEROS, OBISPO RAFAEL
6;UNIM - COQUIMBO, EL SAUCE;UNIM - COQUIMBO, EL SAUCE
29;UNIM - ANTOFAGASTA, ANGAMOS;UNIM - ANTOFAGASTA, ANGAMOS
50;UNIM - ILLAPEL, CONSTITUCION;UNIM - ILLAPEL, CONSTITUCION
482;UNIM - MAIPU, JORGE GUERRA;UNIM - MAIPU, JORGE GUERRA
61;UNIM - SAN BERNARDO, PADRE HURTADO;UNIM - SAN BERNARDO, PADRE HURTADO
44;UNIM - EST CENTRAL, LAS REJAS SUR;UNIM - EST CENTRAL, LAS REJAS SUR
63;UNIM - MAIPU, RINCONADA;UNIM - MAIPU, RINCONADA
956;UNIM - LAS CONDES, LOS DOMINICOS;UNIM - LAS CONDES, LOS DOMINICOS
955;UNIM - SALAMANCA, BULNES 220;UNIM - SALAMANCA, BULNES 220
960;UNIM - PUENTE ALTO, LAS NIEVES;UNIM - PUENTE ALTO, LAS NIEVES
395;UNIM - PENALOLEN, LAS PARCELAS;UNIM - PENALOLEN, LAS PARCELAS
979;UNIM - TALAGANTE, OHIGGINS;UNIM - TALAGANTE, OHIGGINS
586;UNIM - BUIN, MAIPO;UNIM - BUIN, MAIPO
48;UNIM - ANTOFAGASTA, OVIEDO CAVADA;UNIM - ANTOFAGASTA, OVIEDO CAVADA
26;UNIM . ANTOFAGASTA, JOSE SANTOS OSSA 2421;UNIM . ANTOFAGASTA, JOSE SANTOS OSSA 2421
353;UNIM - INDEPENDENCIA, JA RIOS;UNIM - INDEPENDENCIA, JA RIOS
10;UNIM - TIL TIL, PRAT;UNIM - TIL TIL, PRAT
976;UNIM - NUNOA, IRARRAZAVAL;UNIM - NUNOA, IRARRAZAVAL
20;UNIM - CHANARAL, GARBIELA MISTRAL;UNIM - CHANARAL, GARBIELA MISTRAL
16;UNIM - VALLENAR, ARTURO PRAT;UNIM - VALLENAR, ARTURO PRAT
13;UNIM - ANTOFAGASTA, CARLOS PEZOA VELIZ;UNIM - ANTOFAGASTA, CARLOS PEZOA VELIZ
43;UNIM - BATUCO, FRANCIA;UNIM - BATUCO, FRANCIA
19;UNIM - ANTOFAGASTA, HUAMACHUCO;UNIM - ANTOFAGASTA, HUAMACHUCO
12;UNIM - LA SERENA, REINALDO BOLTZ;UNIM - LA SERENA, REINALDO BOLTZ
671;UNIM - LO BARNECHEA, AV. LAS CONDES;UNIM - LO BARNECHEA, AV. LAS CONDES
673;UNIM - CALAMA, LATORRE;UNIM - CALAMA, LATORRE
958;UNIM - SANTIAGO, PORTUGAL 579;UNIM - SANTIAGO, PORTUGAL 579
643;UNIM - BUIN, LINDEROS;UNIM - BUIN, LINDEROS
485;UNIM - EL QUISCO, JOSE NARCISCO AGUIRRE;UNIM - EL QUISCO, JOSE NARCISCO AGUIRRE
45;UNIM - MAIPU, 2DA TRANSVERSAL;UNIM - MAIPU, 2DA TRANSVERSAL
457;UNIM - PTA ARENAS, LAUTARO NAVARRO;UNIM - PTA ARENAS, LAUTARO NAVARRO
58;UNIM - PUENTE ALTO, CONCHA Y TORO 3193;UNIM - PUENTE ALTO, CONCHA Y TORO 3193
60;UNIM - LOS VILOS, CAUPOLICAN;UNIM - LOS VILOS, CAUPOLICAN
68;UNIM - BUIN, BALMACEDA;UNIM - BUIN, BALMACEDA
82;UNIM - ALTO JAHUEL, MIRAFLORES;UNIM - ALTO JAHUEL, MIRAFLORES
36;UNIM - LAMPA, ARTURO PRAT;UNIM - LAMPA, ARTURO PRAT
394;UNIM - CONCHALI, ZAPADORES;UNIM - CONCHALI, ZAPADORES
355;UNIM - PROVIDENCIA, MANUEL MONTT;UNIM - PROVIDENCIA, MANUEL MONTT
461;UNIM - PTA ARENAS, CAPITAN GUILLERMO;UNIM - PTA ARENAS, CAPITAN GUILLERMO
543;UNIM - PEUMO, SARMIENTO;UNIM - PEUMO, SARMIENTO
538;UNIM - LAS CABRAS, JM CARRERA;UNIM - LAS CABRAS, JM CARRERA
580;UNIM - PUDAHUEL, SAN PABLO;UNIM - PUDAHUEL, SAN PABLO
628;UNIM - CARTAGENA, ARZOBISPO CASANOVA;UNIM - CARTAGENA, ARZOBISPO CASANOVA
683;UNIM - LA CISTERNA, METRO LO OVALLE;UNIM - LA CISTERNA, METRO LO OVALLE
49;UNIM - LA FLORIDA, VICUNA MACKENNA 9090;UNIM - LA FLORIDA, VICUNA MACKENNA 9090
535;UNIM - RANCAGUA, DOCTOR SALINAS;UNIM - RANCAGUA, DOCTOR SALINAS
59;UNIM - ILLAPEL, INDEPENDENCIA;UNIM - ILLAPEL, INDEPENDENCIA
62;UNIM - QUINTA NORMAL, GONZALO BULNES;UNIM - QUINTA NORMAL, GONZALO BULNES
126;NA;OKM - SANTIAGO, PORTUGAL
158;NA;OKM - SAN MIGUEL, GRAN AVENIDA
127;NA;OKM - LAS CONDES, APOQUINDO 5697
140;NA;OKM - METRO PLAZA MAIPU
121;NA;OKM - PROVIDENCIA, LUIS THAYER OJEDA
992;NA;OKM - V MACKENNA ORIENTE 7110
156;NA;OKM - MANUEL MONTT 434
163;NA;OKM - LAS CONDES, FERNANDEZ CONCHA
986;NA;OKM - PROVIDENCIA, TOBALABA 1375
157;NA;OKM - NUNOA, TOBALABA 5151
146;NA;OKM - LAS CONDES, MARTIN DE ZAMORA
147;NA;OKM - PROVIDENCIA, PASTENE
145;NA;OKM - SANTIAGO, ALAMEDA 2168
162;NA;OKM - SANTIAGO, REPUBLICA 252
114;NA;OKM - PROVIDENCIA, LA CONCEPCION
697;NA;OKM - PROVIDENCIA, LAS LILAS
999;NA;OKM - MALL ARAUCO MAIPU
131;NA;OKM - LAS CONDES, CERRO EL PLOMO
152;NA;OKM - NUNOA, P. DE VALDIVIA 3774
615;NA;OKM - LA REINA, STRIP CENTER OSSA
689;NA;OKM - SANTIAGO, SAN ANTONIO
678;NA;OKM - PROVIDENCIA, MARCHANT PEREIRA
119;NA;OKM - SANTIAGO, MERCED
679;NA;OKM - PROVIDENCIA, SANTA BEATRIZ
135;NA;OKM - NUNOA, SALVADOR
143;NA;OKM - SANTIAGO, SERRANO
144;NA;OKM - LAS CONDES, COLON 6560
148;NA;OKM - LA FLORIDA, SOTERO DEL RIO
154;NA;OKM - PROVIDENCIA, P DE VALDIVIA 1215
171;NA;OKM - SANTIAGO, GRAJALES
138;NA;OKM - LAS CONDES, H. DE MAGALLANES
951;NA;OKM - PROVIDENCIA, PROVIDENCIA 365
987;NA;OKM - SANTIAGO, CATEDRAL
647;NA;OKM - NUNOA, STRIP CENTER TOBALABA
680;NA;OKM - LAS CONDES, RIESCO 5561
693;NA;OKM - PROVIDENCIA, EL BOSQUE 2108
694;NA;OKM - SANTIAGO, TARAPACA
695;NA;OKM - PROVIDENCIA, P. DE VALDIVIA 18
997;NA;OKM - SANTIAGO, CARMEN
950;NA;OKM - LAS CONDES, APOQUINDO 4554
991;NA;OKM - MACUL, MACUL 2841
614;NA;OKM - NUNOA, CASTILLO VELASCO
989;NA;OKM - SANTIAGO, TOESCA
990;NA;OKM - SANTIAGO, DIAGONAL PARAGUAY
113;NA;OKM - SANTIAGO, SAN FRANCISCO 521
120;NA;OKM - SANTIAGO, REPUBLICA 48
134;NA;OKM - SANTIAGO, MORANDE
616;NA;OKM - SANTIAGO, SAN DIEGO 560
137;NA;OKM - NUNOA, JOSE DOMINGO CANAS
618;NA;OKM - PROVIDENCIA, JORGE MATTE
698;NA;OKM - PROVIDENCIA, SANTA ISABEL
116;NA;OKM - LAS CONDES, VECINAL
696;NA;OKM - SANTIAGO, VICUNA MACKENNA 899
692;NA;OKM - LAS CONDES, RIESCO 2965
123;NA;OKM - PROVIDENCIA, FRANCISCO NOGUERA
173;NA;OKM - PROVIDENCIA, ANTONIO VARAS
676;NA;OKM - PROVIDENCIA, MIDDLETON
690;NA;OKM - COLINA, CAMINO CHICUREO KM2
128;NA;OKM - NUNOA, SIMON BOLIVAR
617;NA;OKM - LA REINA, MANUEL DE LA LASTRA
668;NA;OKM - LO BARNECHEA, HUINGANAL
129;NA;OKM - NUNOA, EXEQUIEL FERNANDEZ
998;NA;OKM - LA REINA, STRIP CENTER LARRAIN
125;NA;OKM - SANTIAGO, SAN DIEGO 369
133;NA;OKM - LAS CONDES, WARREN SMITH
630;NA;OKM - NUNOA, IRARRAZAVAL 3674
155;NA;OKM - SANTIAGO, TEATINOS
166;NA;OKM - MACUL, V. MACKENNA 4685
985;NA;OKM - LAS CONDES, AV APOQUINDO 3149
112;NA;OKM - NUNOA, PLAZA EGANA
142;NA;OKM - ALONSO DE CORDOVA
159;NA;OKM - METRO MATTA
